Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",3/4/1957,788784,1903
PTC,PTC,Information Technology,Application Software,"Boston, Massachusetts",4/20/2021,857005,1985
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",8/19/2005,1393311,1972
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/1984,822416,1956
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/2015,1604778,2015
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",7/1/2009,1050915,1997
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",7/22/1999,804328,1985
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/2002,1022079,1967
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2/2/2007,1037038,1967
RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/2017,720005,1962
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",3/4/1957,101829,1922
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",4/7/2015,726728,1969
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",3/2/2017,910606,1963
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",5/1/2013,872589,1988
RF,Regions Financial Corporation,Financials,Regional Banks,"Birmingham, Alabama",8/28/1998,1281761,1971
RSG,Republic Services,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/2008,1060391,1998 (1981)
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",7/26/2017,943819,1989
RVTY,Revvity,Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/1985,31791,1937
RHI,Robert Half,Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/2000,315213,1948
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,1903
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/2018,84839,1948
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",12/23/2009,882835,1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",12/21/2009,745732,1982
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/2014,884887,1997
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",3/4/1957,64040,1917
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",9/15/2008,1108524,1999
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",9/1/2017,1034054,1989
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957,87347,1926
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/2012,1137789,1979
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,"Charlotte, North Carolina",3/4/1957,1012100,1960
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",2001?,1032208,1998
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",11/21/2019,1373715,2003
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/1964,89800,1866
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/2002,1063761,2003
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",3/12/2015,4127,2002
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/2008,91419,1897
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",9/30/1982,91440,1920
SEDG,SolarEdge,Information Technology,Semiconductor Materials & Equipment,"Herzliya, Israel",12/20/2021,1419612,2006
